origin_tweet_full_text,retweet_count
"Saya Donasikan Gaji, Hingga Wabah Covid-19 Berakhir  Sy donasikan gaji sy sbg Anggota @DPDRI u/ warga #Jakarta yg miskin atau yg mata pencahariannya terputus akibat wabah ini. Donasi ini sy lakukan hingga Pemerintah  menetapkan Wabah Covid-19 di #Indonesia dinyatakan berakhir. https://t.co/UF2Y2KpgjL",7114
Menunggu saat-saat seperti ini wakwkwk https://t.co/wrWxDg3Jre,2063
"Mohon doa  Baru mendapat berita dari Suster Valentina CB (Biara Panti Rapih) bahwa  26 Suster dan 29 Perawat di Biara St. Anna, Kolombo, Yogyakarta terpapar Covid-19.   Saat ini Biara St. Anna membutuhkan bantuan doa dan dukungan bagi Suster dan Perawat yang terpapar Covid-19.",1247
"""Tidak benar bahwa DKI meminta Pusat mengambil alih tangani Covid-19""  Jawaban Pak Anies cerdas,lugas dan tegas! https://t.co/K8fGi6B22r",1070
Ilustrasi aliran dana bansos covid:   https://t.co/HpREDPoiMu,1012
"Sudah dua pekan kita menggelar vaksinasi massal Covid-19. Hari ini, sudah sekitar 250.000 tenaga kesehatan yang telah menjalani vaksinasi.   Memang terasa masih kurang, tapi dari hari ke hari kita tetap membenahi manajemen pelaksanaan vaksinasi. https://t.co/iKD09TATzn",972
"Difitnah ""Menyerah Hadapi Covid"", jawaban Anies ini Bikin CETAAARRRR !!! https://t.co/foDG0hfCto",573
"Alhamdulillah, kita bersyukur menerima bantuan 3 unit Mobile Laboratorium Polymerase Chain Reaction Test (PCR) Covid-19 dengan Biosafety Level (BSL) 2 hasil kolaborasi Human Initiative, Nama Foundation dan Ai Labs.  https://t.co/UBRdyaURnd https://t.co/dsF39AX0xd",473
PM Jepang Minta Maaf Terkait Penanganan Covid https://t.co/g7WkRqXJwQ,427
"Selamat malam semua izin share terkait keadaan dari salah 1 rekan saya, beliau cukup dikenal dikalangan mahasiswa karena keramahanya sebagai penjual makanan di daerah kampus PKN STAN, saat ini terdampak karena covid 19 yang mengharuskan Mahasiswa melakukan pembelajaran jarak jauh https://t.co/2JocFryUiz",417
"Vietnam dan Thailand jadi Negara Terbaik Penanganan Covid, Indonesia Urutan 85 di Bawah Bangladesh https://t.co/GuHipffXSt",368
"Vietnam dan Thailand jadi Negara Terbaik Penanganan Covid, Indonesia Urutan 85 di Bawah Bangladesh https://t.co/1dw7tNceMf",285
Hi Electrizen! Sekarang untuk  cek token listrik gratis program stimulus covid-19 jadi makin mudah dengan PLN Mobile! Simak caranya yuk!  Kamu sudah download PLN Mobile belum? Download di https://t.co/2WqmZwNWL6. Tersedia di Playstore dan App Store. https://t.co/j2x0RUSssy,284
@jaaaaakk Di grup WA komplek ada yg bilang kalo salah satu anggota keluarga salah seorang warga positif dan minta untuk dicari info ke wisma atlet.  Lalu di skakmat sama Pak RT : “lho katanya bapak &amp; kelfg gak percaya ada covid”   Grup langsung hening.,183
Masih nunggu update anak2 WB apa masih nyapu begini saat issue covid lagi gencar2 begini. https://t.co/st7ATIPgW8,183
"IDI; 647 Tenaga Medis Indonesia meninggal akibat Covid-19; Itu Tertinggi di Asia, Ke 3 SeDunia. RMI NU;Selama covid-19 Ulama yg wafat lebih dari 230 Kyai/Nyai. Kita sangat berduka. Smoga Allah terima mrk di surgaNya, tapi jg jadi peringatan unt kita semua. https://t.co/csBm0L2rX3",178
"Vaksinasi Covid-19 sudah kita mulai.  Di luar itu, yang paling penting adalah tetap disiplin menjalankan protokol kesehatan. https://t.co/ZrRJJJufq8",177
"Menunggu Novel Baswedan bersama timnya turun untuk memimpin audit investigasi ke Balai Kota terkait APBD DKI aliran dana Commitmen E Formula Rp 1,1 triliun dan dana Covid Rp 10 triliun 😌  @KPK_RI  https://t.co/3B1sRBXu5O",142
"Alkhamdulillah, rekan2 dokter, perawat &amp; Lajnah Bahtsul Masail telah menyusun buku ini yg sesuai dg syariat dan prokes, hingga fardlu kifayah TDK terabaikan dan prokes tetap terjaga. Ilmu pengetahuan harus berkhidmat dlm agama, bukan sebaliknya. Gugus Covid kami juga siap melatih https://t.co/qOWTo98WVk",140
"Finally! Hari ini pelaksanaan vaksinasi Covid-19 di Kalbar. @BangMidji, @KodamTpr, Kapolda Kalbar serta @DinkesKalbar telah melakukan vaksinasi di Pendopo Gubernur Kalbar  Jangan takut vaksin ya, yuk dukung dan sukseskan vaksinasi Covid-19 #DukungSehatkanBangsa https://t.co/W8RJrs1H9w",115
Anal swab test kini tengah jadi perbincangan karena dinilai lebih akurat mendeteksi COVID-19. Penularan COVID-19 lewat kentut bahkan sempat jadi perbincangan. https://t.co/c7UlLe5xx7,113
Perdana Menteri Inggris Boris Johnson merasa bersalah atas terus bertambahnya jumlah korban COVID-19 hingga 100 ribu lebih. #TempoDunia https://t.co/1JTzzu9yz0,105
Buat yang saat ini masih berjuang untuk sembuh dari Covid-19. Dapet salam dapat salam dari warga Wisma Atlit 💪🏽  🎥: @nikkysutanto https://t.co/Bzvpt7lC4r,98
Terjadi Keributan Antara Masyarakat Yang Mengadakan Pesta Dengan Tim Satgas Covid-19 Yang Terdiri Dari Unsur TNI - POLRI Di Jalan Raya Babang Desa Marabose Kec. Bacan Kab. Halmahera Selatan Prov. Maluku Utara Senin (25/1/2021) . https://t.co/31Nmmlp4gf https://t.co/s9V1gH7UnC,95
"Kasus Harun Masiku itu kasus suap yang nilainya ga seberapa dibanding, dana Formula E, Frankfurt Book Fair dan dana penanganan Covid-19 Rp.10T. KPK jaman now selain tebang pilih dan berpolitik, KPK juga cuma bisa proses kasus suap receh.  https://t.co/w8DjB8s6KC",91
Benarkah Covid-19 Menular Lewat Kentut? https://t.co/zlkCxSTAKR,75
"Electrizen,  Dengan aplikasi New PLN Mobile, cek token listrik diskon 100% dari program Stimulus Covid-19 jadi makin mudah loh. Mau tau gimana caranya? #StimulusCOVID19 #NewPLNMobile #PowerBeyondGenerations #ListrikUntukRakyat #ListrikUntukSemua https://t.co/iattUSdGcg",58
"""Tanggapan saya soal issue rs meng covid kan?"" https://t.co/sj8iZUhJHf",55
"Gubernur DKI Jakarta Anies Baswedan mengaku, pihaknya sudah merubah sebagian besar Rumah SakitUmum Daerah (RSUD) milik Pemerintah Provinsi DKI menjadi rumah sakit khusus menampung pasien Covid-19.  https://t.co/daXcjTZIhz https://t.co/k7o9PS1Geb",48
Gubernur Anies Baswedan tidak kenal lelah mengunjungi rumah sakit di ibu kota.   Dukungan Pak Anies terhadap dokter dan perawat di tengah melonjaknya kasus Covid-19 memang diperlukan. Mereka adalah garda terdepan dalam menekan laju penyebaran Covid.   https://t.co/warGICkQRT https://t.co/pRixXcRctW,46
"Kemarin menegur industri2 di Karawang yg telat atau tidak melaporkan kasus Covid di pabriknya, sehingga tracing jd terlambat &amp; kasus jd berlipat. Ini membuat Karawang 6 minggu zona merah terus. Penyembunyian informasi ini bs masuk kategori pasal pidana menurut Pak Kapolda Jabar. https://t.co/hc0h9ynlMc",43
